amfi_code,CAGR_3yr,Sharpe,Max_DD,scheme_name,category,plan_type,StdDev_ann,AUM_crore
120503,0.14693231522347006,0.7979728586052847,-0.13897862823061635,ICICI Pru Bluechip Fund - Regular - Growth,Equity,Regular,0.1388443751311979,36022
120504,0.27886717505894776,1.0265242847993001,-0.12588275606922517,ICICI Pru Bluechip Fund - Direct - Growth,Equity,Direct,0.14363780566736659,41553
120505,0.2964993404956926,1.1801011976606492,-0.18188513572116294,ICICI Pru Midcap Fund - Regular - Growth,Equity,Regular,0.19290949406318195,979
120506,0.18098572298772764,0.6488787755249532,-0.1982565826298267,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,Regular,0.15230516379673067,2571
120507,0.07063476974031735,0.49572339295331147,-0.0009773140045925555,ICICI Pru Liquid Fund - Regular - Growth,Debt,Regular,0.0049391262595120155,39116
120841,0.16446665078408862,0.4942725378672354,-0.1757361416468729,Kotak Bluechip Fund - Regular - Growth,Equity,Regular,0.13463795800784448,35585
120842,0.09896111385771578,0.07599984804658912,-0.24003511326274884,Kotak Emerging Equity Fund - Regular - Growth,Equity,Regular,0.17894715006571874,47469
120843,0.2541357504574635,1.3067439695428407,-0.1297396816518679,Kotak Flexicap Fund - Regular - Growth,Equity,Regular,0.1588698652360926,35012
120844,0.06555138646928649,-0.08874729621557495,-0.0011629327956168556,Kotak Liquid Fund - Regular - Growth,Debt,Regular,0.005133170487371137,27623
125497,0.1776826716893969,0.7757902498211209,-0.15200013055606398,HDFC Top 100 Fund - Direct Plan - Growth,Equity,Direct,0.14668866752399518,10611
125498,0.12564556862743115,0.3006119210425479,-0.21117279560132118,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,Direct,0.18352430087335778,18792
148567,0.31495335576695416,1.4482911703262602,-0.11265729075028275,Mirae Asset Large Cap Fund - Regular - Growth,Equity,Regular,0.1419370675462035,11361
148568,0.13526654355414114,0.9262873467360146,-0.1527259422823477,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,Regular,0.15429144469823297,49046
148569,0.23388973345158037,1.2349300257743299,-0.1639674294693263,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,Regular,0.17674006691346694,2989
149322,0.1661251630174072,0.4640374492204777,-0.14844576917771746,DSP Top 100 Equity Fund - Regular - Growth,Equity,Regular,0.14353859818510503,41828
149323,0.23888131507039434,1.1321218524747247,-0.17248105753451382,DSP Midcap Fund - Regular - Growth,Equity,Regular,0.17746159397550842,37835
149324,0.25315693392596184,0.9497958246616032,-0.31171900300634214,DSP Small Cap Fund - Regular - Growth,Equity,Regular,0.24840205005242097,35124
